Ref,id,Gender,Satisfied,Age,Age Band,Type of Travel,Class,Flight Distance,Destination,Continent,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,70172,Male,Y,13,Under 18,Personal Travel,Eco Plus,4760,India,Asia,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18
1,5047,Male,N,25,25 to 34,Business travel,Business,235,Republic of Ireland,Europe,0,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6
2,110028,Female,Y,26,25 to 34,Business travel,Business,4760,India,Asia,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0
3,24026,Female,Y,25,25 to 34,Business travel,Business,560,Norway,Europe,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9
4,119299,Male,Y,61,55 to 64,Business travel,Business,4760,India,Asia,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0
5,111157,Female,Y,26,25 to 34,Personal Travel,Eco,1180,Italy,Europe,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0
6,82113,Male,Y,47,45 to 54,Personal Travel,Eco,4760,India,Asia,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23
7,96462,Female,Y,52,45 to 54,Business travel,Business,4760,India,Asia,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0
8,79485,Female,Y,41,35 to 44,Business travel,Business,4760,India,Asia,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0
9,65725,Male,N,20,18 to 24,Business travel,Eco,1060,San Marino,Europe,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0
10,34991,Female,N,24,18 to 24,Business travel,Eco,1180,Italy,Europe,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0
11,51412,Female,Y,12,Under 18,Personal Travel,Eco Plus,4760,India,Asia,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0
12,98628,Male,Y,53,45 to 54,Business travel,Eco,5715,Japan,Asia,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8
